fecha_nacimiento,sexo,localidad_nacimiento,lugar_nacimiento,fecha_fallecimiento,localidad_fallecimiento,lugar_fallecimiento
1966-06-06,2,Maldonado,9,,,
1966-08-10,1,Salto,1,,,
1966-01-30,1,Durazno,1,1988-08-11,Paysandú,1
1966-04-23,8,Durazno,3,,,
1966-11-09,1,Salto,9,,,
1966-12-12,2,Canelones,8,2006-10-09,Salto,2
1966-07-10,1,Soriano,1,2007-11-22,Artigas,2
1966-06-19,2,Salto,2,,,
1966-11-17,9,Artigas,1,,,
1966-05-22,2,Salto,8,,,
1966-06-04,8,Flores,8,1966-07-30,Durazno,1
1966-08-14,1,Flores,3,,,
1966-01-18,1,Soriano,3,1966-03-01,Cerro Largo,2
1966-05-06,8,Soriano,8,1985-11-25,Rocha,2
1966-02-10,2,Montevideo,3,,,
1966-02-03,8,Lavalleja,3,1972-11-28,Rivera,3
1966-07-14,8,Las Piedras,1,,,
1966-12-21,1,Treinta y Tres,9,,,
1966-09-01,1,Durazno,9,,,
1966-07-28,1,Salto,1,,,
1966-10-27,1,Flores,2,,,
1966-03-22,9,Canelones,1,1998-05-18,Treinta y Tres,3
1966-06-07,2,Maldonado,9,,,
1966-10-27,9,Salto,3,,,
1966-07-16,1,Río Negro,9,2010-01-01,Treinta y Tres,2
1966-03-04,9,Salto,2,,,
1966-07-12,1,Maldonado,9,2019-03-07,Soriano,1
1966-06-15,2,Soriano,2,,,
1966-06-05,1,Colonia,3,,,
1966-09-17,2,Flores,9,,,
1966-03-29,1,Río Negro,2,,,
1966-01-27,2,Lavalleja,3,,,
1966-11-07,2,Las Piedras,9,1978-08-12,Lavalleja,8
1966-05-14,1,San José,9,1968-06-05,Tacuarembó,9
1966-10-15,1,Rivera,8,,,
1966-04-13,1,Canelones,1,2011-10-06,Soriano,1
1966-05-11,2,Rocha,1,,,
1966-11-24,2,Treinta y Tres,3,,,
1966-10-24,1,Salto,9,1975-11-05,Artigas,8
1966-10-29,8,Río Negro,1,,,
1966-04-09,8,Salto,2,1972-04-14,San José,8
1966-05-22,1,Lavalleja,1,,,
1966-01-24,8,Colonia,9,,,
1966-08-23,2,Florida,8,,,
1966-05-12,1,Flores,9,,,
1966-11-29,9,Montevideo,2,2010-03-31,Rocha,3
1966-11-23,8,Rocha,3,,,
1966-06-16,1,Colonia,2,,,
1966-03-18,2,Las Piedras,1,,,
1966-08-21,1,San José,3,1987-11-21,Soriano,2
1966-12-10,2,Paysandú,8,,,
1966-03-24,2,Canelones,3,,,
1966-12-13,1,Canelones,3,,,
1966-02-22,8,Colonia,2,,,
1966-04-10,1,Salto,2,1973-05-30,San José,9
1966-07-31,2,Cerro Largo,9,,,
1966-12-01,9,Treinta y Tres,2,1998-09-06,Lavalleja,3
1966-01-15,8,Tacuarembó,8,,,
1966-12-14,1,Lavalleja,1,,,
1966-06-17,1,Flores,8,1974-12-10,Florida,3
1966-12-19,8,Paysandú,1,,,
1966-05-29,8,Artigas,1,,,
1966-06-24,1,Soriano,9,2009-08-04,Paysandú,3
1966-09-25,8,Florida,1,1986-01-17,Maldonado,8
1966-06-11,2,Montevideo,9,,,
1966-09-24,2,Lavalleja,8,1995-10-16,Canelones,2
1966-09-22,1,Las Piedras,2,1995-08-13,Río Negro,1
1966-11-13,9,Rivera,9,,,
1966-05-19,8,Rocha,9,,,
1966-03-26,1,Lavalleja,3,,,
1966-01-14,1,Canelones,3,,,
1966-09-15,1,Salto,9,2006-06-29,Florida,2
1966-12-02,1,Salto,2,,,
1966-01-24,8,Montevideo,2,,,
1966-12-17,1,Durazno,3,,,
1966-08-20,1,Colonia,1,,,
1966-09-10,8,Tacuarembó,9,,,
1966-12-09,1,Canelones,8,,,
1966-03-19,8,Paysandú,9,,,
1966-03-21,1,Paysandú,1,,,
1966-01-04,2,San José,3,1975-12-16,Las Piedras,1
1966-09-03,2,Tacuarembó,1,2015-11-21,Paysandú,3
1966-09-08,1,San José,3,2019-10-25,San José,1
1966-01-12,2,Cerro Largo,1,1974-09-10,Las Piedras,2
1966-01-10,1,Colonia,1,1966-09-28,Montevideo,8
1966-10-26,2,Tacuarembó,2,,,
1966-08-21,8,San José,1,1974-04-02,Soriano,2
1966-11-29,9,Colonia,8,,,
1966-12-30,2,Maldonado,3,2023-09-15,Flores,3
1966-02-12,2,Lavalleja,1,1977-06-09,Río Negro,2
1966-07-25,1,Durazno,3,2003-01-30,Treinta y Tres,8
1966-02-14,1,Durazno,3,,,
1966-06-22,1,Maldonado,8,,,
1966-03-24,1,Rivera,2,,,
1966-10-24,1,Río Negro,2,1982-11-06,Durazno,3
1966-12-03,2,Tacuarembó,2,,,
1966-10-06,1,Rocha,3,,,
1966-03-13,8,San José,9,,,
1966-06-16,9,Paysandú,1,,,
1966-12-03,8,Las Piedras,3,,,
1966-11-07,2,Río Negro,2,,,
1966-01-31,8,Lavalleja,3,1994-08-21,Salto,2
1966-08-05,8,Treinta y Tres,2,,,
1966-05-08,8,Montevideo,9,,,
1966-09-22,2,Maldonado,3,,,
1966-08-01,8,Rocha,8,1994-04-11,Artigas,1
1966-09-28,2,Florida,3,,,
1966-02-11,1,Montevideo,1,,,
1966-02-01,1,Cerro Largo,1,,,
1966-08-27,1,Rocha,8,1999-10-03,Salto,1
1966-07-30,1,Soriano,9,,,
1966-03-13,1,Lavalleja,1,2001-03-13,San José,8
1966-11-03,1,San José,2,2005-08-01,Colonia,9
1966-12-23,1,Cerro Largo,8,,,
1966-07-10,2,Flores,9,,,
1966-06-07,1,Maldonado,3,,,
1966-02-05,9,Durazno,2,2008-12-21,Maldonado,1
1966-11-01,2,Treinta y Tres,2,2000-06-22,Tacuarembó,2
1966-06-11,8,Salto,3,,,
1966-11-17,1,Las Piedras,1,2019-04-11,Rocha,8
1966-12-23,8,Tacuarembó,1,,,
1966-02-01,1,Durazno,1,,,
1966-03-30,8,Paysandú,2,1988-02-11,Soriano,8
1966-11-18,1,Montevideo,8,,,
1966-05-22,1,Salto,2,,,
1966-02-12,2,Rocha,8,2014-05-06,Montevideo,2
1966-06-01,1,Salto,8,,,
1966-09-02,9,Río Negro,3,2015-06-05,Tacuarembó,1
1966-02-03,2,San José,1,1986-07-04,Colonia,3
1966-01-15,2,Durazno,3,,,
1966-08-21,8,Durazno,3,,,
1966-09-24,9,Artigas,9,,,
1966-03-19,8,Las Piedras,2,,,
1966-11-06,8,Rocha,9,,,
1966-10-30,1,Tacuarembó,1,,,
1966-10-19,1,Florida,1,1984-03-01,Colonia,8
1966-09-06,2,Las Piedras,9,,,
1966-06-13,9,Soriano,9,1999-07-30,Las Piedras,1
1966-06-13,2,Maldonado,3,,,
1966-10-10,1,Soriano,9,,,
1966-01-11,2,Treinta y Tres,8,,,
1966-06-16,1,Soriano,9,,,
1966-05-13,1,Cerro Largo,2,,,
1966-09-03,8,Montevideo,9,1968-06-30,Tacuarembó,3
1966-06-07,2,Tacuarembó,8,,,
1966-08-16,1,Río Negro,1,,,
1966-08-27,1,Rivera,1,,,
1966-08-22,2,Rocha,3,,,
1966-04-29,8,Artigas,2,1976-11-02,Canelones,9
1966-03-30,2,Rocha,9,2020-09-08,Treinta y Tres,9
1966-07-16,1,Cerro Largo,3,,,
1966-06-22,1,Treinta y Tres,8,1981-08-09,Paysandú,9
1966-03-31,2,Durazno,1,,,
1966-10-15,1,Maldonado,9,,,
1966-11-25,2,Treinta y Tres,9,1982-03-07,Paysandú,1
1966-01-17,1,Durazno,1,,,
1966-10-06,1,Durazno,8,1976-05-13,Montevideo,3
1966-12-12,2,Las Piedras,8,,,
1966-10-13,1,Cerro Largo,9,,,
1966-12-14,2,Cerro Largo,1,1974-05-10,Montevideo,3
1966-07-21,2,Lavalleja,3,,,
1966-12-08,2,San José,2,2018-11-10,Lavalleja,1
1966-08-07,2,Colonia,1,,,
1966-12-14,9,Rocha,9,1993-02-13,Las Piedras,3
1966-03-06,1,Maldonado,2,,,
1966-04-01,2,Rocha,9,,,
1966-07-20,9,Colonia,8,1992-10-08,Canelones,2
1966-07-16,1,Rivera,8,,,
1966-03-17,9,Tacuarembó,9,,,
1966-06-18,1,Durazno,1,,,
1966-10-26,9,Cerro Largo,3,2025-04-11,Lavalleja,1
1966-06-18,2,Las Piedras,2,,,
1966-02-07,1,Lavalleja,3,2010-03-21,Soriano,9
1966-10-03,1,Florida,3,,,
1966-08-23,2,Salto,1,2004-02-08,Cerro Largo,8
1966-01-22,9,Rocha,1,,,
1966-06-28,8,Florida,3,,,
1966-06-20,1,Soriano,9,,,
1966-12-31,1,Las Piedras,8,1989-04-23,Rocha,9
1966-02-19,1,Salto,9,1992-02-08,Soriano,8
1966-08-05,1,Salto,2,,,
1966-04-18,2,Río Negro,9,1990-01-12,Colonia,2
1966-03-26,9,Soriano,2,1995-08-13,Rocha,9
1966-05-12,2,Cerro Largo,1,,,
1966-07-30,1,Las Piedras,3,2021-03-31,Canelones,3
1966-09-25,1,Las Piedras,9,,,
1966-10-17,1,Treinta y Tres,8,2002-07-04,Salto,1
1966-08-19,1,Lavalleja,3,,,
1966-06-08,2,Salto,1,,,
1966-05-19,9,San José,8,,,
1966-05-31,2,Artigas,8,1993-11-04,Rivera,8
1966-04-07,2,Salto,8,2001-09-08,Salto,2
1966-01-11,1,Río Negro,9,2021-12-11,Florida,2
1966-03-01,1,Salto,8,1984-01-14,Salto,3
1966-06-21,2,Florida,9,,,
1966-04-20,1,Río Negro,1,,,
1966-01-14,1,Maldonado,3,,,
1966-11-15,2,Salto,3,2014-07-23,Soriano,3
1966-12-31,1,Salto,9,,,
1966-11-06,1,Las Piedras,2,,,
1966-06-01,1,Rocha,9,,,
1966-11-25,1,Lavalleja,3,,,
1966-12-30,8,Tacuarembó,8,,,
1966-05-25,9,Canelones,8,,,
1966-12-23,1,Flores,8,2014-09-18,Colonia,9
1966-11-22,2,Paysandú,1,,,
1966-06-21,2,Paysandú,2,1995-11-15,Durazno,2
1966-10-11,2,Las Piedras,9,2009-03-26,Rivera,8
1966-10-20,8,Flores,2,,,
1966-06-28,9,Durazno,2,1989-10-30,Río Negro,3
1966-03-09,2,Lavalleja,9,1977-11-25,Cerro Largo,8
1966-10-22,9,Paysandú,2,1987-01-21,Lavalleja,8
1966-11-16,1,Canelones,3,,,
1966-05-05,8,San José,3,,,
1966-09-25,2,Treinta y Tres,3,1973-01-25,Durazno,1
1966-04-29,1,Durazno,2,1975-05-04,Paysandú,2
1966-12-27,1,Las Piedras,1,1987-10-25,Rivera,8
1966-02-14,1,Maldonado,2,,,
1966-08-18,9,Durazno,2,,,
1966-09-12,1,Canelones,9,,,
1966-08-26,2,Canelones,1,,,
1966-02-17,1,Soriano,1,1984-10-05,Soriano,1
1966-02-03,1,Artigas,3,1995-10-28,San José,9
1966-05-03,9,Rocha,9,,,
1966-08-14,2,Río Negro,9,,,
1966-07-22,1,Salto,1,,,
1966-07-16,8,Salto,2,,,
1966-03-07,1,Artigas,8,2010-11-15,Las Piedras,2
1966-01-31,1,Las Piedras,8,,,
1966-05-17,9,Las Piedras,8,1994-05-07,Cerro Largo,2
1966-01-08,2,Las Piedras,9,1997-04-10,Flores,2
1966-10-10,2,Durazno,2,2009-08-23,Durazno,2
1966-08-24,2,Cerro Largo,9,1991-04-16,Río Negro,1
1966-04-01,2,Soriano,2,,,
1966-01-01,9,Artigas,8,2023-04-08,Florida,1
1966-06-23,2,Lavalleja,9,1990-04-01,Artigas,9
1966-12-21,2,Tacuarembó,8,1968-11-20,Colonia,8
1966-08-15,8,Paysandú,9,,,
1966-02-16,1,Soriano,2,,,
1966-08-29,2,Maldonado,2,,,
1966-10-23,9,Montevideo,2,1969-01-02,Las Piedras,1
1966-01-06,2,Lavalleja,3,2006-01-24,Tacuarembó,2
1966-08-08,9,Canelones,9,,,
1966-06-25,2,Colonia,3,1989-05-19,Colonia,1
1966-11-19,2,Tacuarembó,9,,,
1966-08-11,2,San José,8,2010-11-05,Cerro Largo,1
1966-02-13,1,Rivera,3,1999-10-31,Colonia,2
1966-10-01,8,Rivera,2,,,
1966-08-03,1,Paysandú,8,,,
1966-12-15,9,Maldonado,9,1987-11-22,Las Piedras,1
1966-04-20,9,Rocha,2,,,
1966-06-20,1,Tacuarembó,3,1990-06-15,Cerro Largo,2
1966-04-17,1,Paysandú,9,,,
1966-01-26,1,Colonia,9,,,
1966-09-29,2,Flores,3,1980-01-22,Lavalleja,3
1966-05-19,9,Florida,8,1973-02-17,Canelones,2
1966-11-03,1,Lavalleja,3,,,
1966-12-01,8,Flores,2,1978-06-16,Florida,9
1966-08-08,1,Paysandú,3,1984-03-30,Salto,9
1966-12-18,1,Canelones,2,,,
1966-11-28,2,Las Piedras,8,,,
1966-05-24,9,Río Negro,9,,,
1966-09-15,1,San José,3,,,
1966-03-25,2,Colonia,8,,,
1966-01-24,8,Río Negro,2,,,
1966-01-05,1,Tacuarembó,3,,,
1966-03-03,9,Montevideo,8,,,
1966-10-26,2,Maldonado,1,1989-03-21,Paysandú,8
1966-01-25,1,Treinta y Tres,1,,,
1966-10-05,1,Canelones,3,,,
1966-06-01,2,Soriano,1,,,
1966-11-12,2,Las Piedras,3,,,
1966-05-12,1,Cerro Largo,1,,,
1966-09-02,2,Durazno,3,,,
1966-02-12,9,Maldonado,9,2008-01-25,Treinta y Tres,3
1966-08-16,1,Canelones,9,2022-12-17,Cerro Largo,8
1966-03-22,2,Rocha,8,,,
1966-07-11,1,Rocha,8,1984-04-27,Maldonado,2
1966-07-22,9,Tacuarembó,2,,,
1966-04-12,8,Rocha,8,2014-02-22,Río Negro,8
1966-08-07,8,Flores,9,,,
1966-11-15,1,Montevideo,9,,,
1966-06-24,1,San José,2,,,
1966-12-04,2,Florida,2,2020-11-26,Lavalleja,1
1966-03-02,9,Río Negro,3,,,
1966-05-12,1,Cerro Largo,8,,,
1966-04-10,2,San José,3,,,
1966-12-29,1,Montevideo,9,,,
1966-02-07,1,Maldonado,2,,,
1966-04-13,1,Lavalleja,1,,,
1966-03-02,2,Flores,3,2022-05-19,Durazno,3
1966-08-19,2,Flores,1,,,
1966-01-04,2,Tacuarembó,2,,,
1966-09-06,1,Montevideo,9,1988-05-21,Salto,2
1966-07-11,9,Tacuarembó,9,2021-05-29,Rivera,2
1966-03-02,1,Tacuarembó,1,2025-08-15,Maldonado,1
1966-06-06,1,Lavalleja,1,,,
1966-07-07,9,Artigas,1,2017-02-10,Rivera,1
1966-04-17,2,Flores,8,,,
1966-03-04,2,Soriano,1,,,
1966-11-17,8,Las Piedras,2,,,
1966-06-20,1,Montevideo,8,,,
1966-01-22,2,Durazno,3,,,
1966-09-09,1,Canelones,1,,,
1966-11-28,2,San José,8,,,
1966-02-02,8,Río Negro,3,2018-01-06,Cerro Largo,8
1966-07-22,1,Artigas,9,,,
1966-02-05,2,Colonia,9,,,
1966-06-27,1,Soriano,3,,,
1966-08-29,2,Montevideo,3,1978-02-08,Treinta y Tres,3
1966-04-05,8,Cerro Largo,1,1997-08-18,Río Negro,8
1966-09-05,8,Artigas,9,,,
1966-02-26,2,Las Piedras,9,2021-06-08,Rivera,1
1966-02-27,2,Soriano,9,2017-12-06,Rocha,8
1966-03-25,2,Paysandú,9,1994-05-14,Salto,9
1966-06-05,1,Rivera,8,1970-12-26,Tacuarembó,3
1966-07-27,2,Rivera,1,,,
1966-03-02,2,San José,8,1998-08-07,Rivera,3
1966-11-10,1,Florida,3,,,
1966-02-21,2,Soriano,3,,,
1966-12-15,1,Rivera,3,2001-03-24,Rivera,2
1966-02-27,1,Lavalleja,2,,,
1966-11-04,2,Durazno,2,,,
1966-07-06,8,Canelones,3,,,
1966-11-29,1,Montevideo,2,,,
1966-11-23,9,Florida,3,,,
1966-05-08,8,Paysandú,9,1979-08-14,Artigas,1
1966-12-05,8,Lavalleja,1,,,
1966-04-12,1,Salto,9,,,
1966-09-16,2,Las Piedras,9,,,
1966-08-21,1,Río Negro,8,2001-09-22,Lavalleja,3
1966-03-21,1,Maldonado,9,2020-03-13,Durazno,1
1966-12-26,8,Canelones,3,1989-06-22,Río Negro,3
1966-08-27,2,Salto,8,2008-10-08,Tacuarembó,9
1966-03-05,8,Rivera,2,,,
1966-01-08,9,Treinta y Tres,3,,,
1966-09-23,1,Canelones,3,2010-07-21,Salto,9
1966-09-01,1,Colonia,1,,,
1966-07-03,1,Montevideo,1,,,
1966-02-21,1,Rocha,2,,,
1966-03-30,1,Flores,1,2019-10-26,Colonia,1
1966-03-07,8,Artigas,9,1987-09-23,San José,2
1966-04-20,1,Lavalleja,2,,,
1966-08-03,1,Rivera,8,,,
1966-07-24,2,San José,1,,,
1966-04-23,2,Río Negro,8,,,
1966-05-08,1,Salto,1,,,
1966-11-28,1,Las Piedras,3,,,
1966-11-16,1,Flores,1,,,
1966-02-10,2,Maldonado,1,,,
1966-11-20,1,Flores,1,,,
1966-03-01,2,Montevideo,8,,,
1966-05-17,2,Cerro Largo,1,,,
1966-04-19,8,Soriano,3,,,
1966-09-08,9,Maldonado,2,,,
1966-06-25,8,Montevideo,2,,,
1966-07-10,8,Montevideo,8,,,
1966-12-19,9,Montevideo,8,,,
1966-01-13,8,Montevideo,1,,,
1966-04-09,8,Montevideo,2,1997-08-17,Artigas,9
1966-07-08,2,Cerro Largo,8,,,
1966-08-09,9,Montevideo,1,,,
1966-03-07,1,Cerro Largo,9,1976-01-03,Rocha,8
1966-10-19,9,Río Negro,8,,,
1966-07-02,1,Cerro Largo,2,1994-11-23,Artigas,2
1966-12-09,8,Soriano,9,,,
1966-02-28,2,Treinta y Tres,3,2013-03-03,Rocha,1
1966-12-14,1,Flores,1,1967-10-18,Lavalleja,1
1966-03-29,1,Montevideo,1,2008-07-15,Soriano,1
1966-06-29,1,Montevideo,3,,,
1966-08-24,2,Paysandú,8,2003-05-10,Flores,3
1966-08-07,9,Canelones,1,,,
1966-07-01,2,San José,9,2023-12-01,Artigas,2
1966-10-08,9,Maldonado,1,,,
1966-10-11,2,Flores,3,,,
1966-10-29,1,Durazno,8,,,
1966-04-26,2,Salto,2,,,
1966-04-07,1,Colonia,1,,,
1966-03-15,1,Tacuarembó,2,,,
1966-12-16,9,Florida,8,,,
1966-03-07,1,San José,3,,,
1966-01-20,9,Las Piedras,9,,,
1966-03-18,1,Durazno,3,,,
1966-09-03,2,Las Piedras,3,2011-06-19,Colonia,3
1966-05-11,1,Salto,9,,,
1966-12-04,2,Lavalleja,1,,,
1966-09-20,2,Las Piedras,1,,,
1966-03-07,2,Soriano,9,,,
1966-08-15,1,Paysandú,1,,,
1966-05-23,2,Río Negro,8,,,
1966-03-22,1,Treinta y Tres,3,,,
1966-12-06,1,Río Negro,9,,,
1966-12-17,1,Montevideo,2,,,
1966-02-24,1,Tacuarembó,9,2025-08-31,Rivera,1
1966-04-30,2,Salto,8,,,
1966-04-01,8,Durazno,9,1986-06-07,Flores,8
1966-07-21,1,Florida,3,2024-01-27,Rocha,9
1966-07-24,2,Colonia,3,,,
1966-09-22,8,Cerro Largo,2,,,
1966-10-23,1,Florida,9,,,
1966-08-19,9,Tacuarembó,3,,,
1966-05-09,1,Paysandú,9,,,
1966-10-11,2,Rocha,1,2003-07-06,Canelones,2
1966-03-06,9,Lavalleja,2,,,
1966-12-17,9,Cerro Largo,2,,,
1966-04-11,1,Las Piedras,1,,,
1966-07-18,9,Las Piedras,1,2001-03-29,Rivera,1
1966-09-24,2,Flores,3,,,
1966-06-13,1,Canelones,2,,,
1966-12-08,1,Lavalleja,1,,,
1966-03-09,2,Las Piedras,8,,,
1966-09-05,8,Rivera,2,,,
1966-12-28,1,Lavalleja,9,,,
1966-12-12,2,Florida,3,,,
1966-11-06,9,Lavalleja,2,1982-07-13,Tacuarembó,3
1966-03-14,2,Canelones,2,,,
1966-03-12,2,Flores,3,2012-01-01,Treinta y Tres,9
1966-03-22,1,Soriano,1,,,
1966-06-14,1,Durazno,1,2013-06-27,Rivera,2
1966-06-04,1,Cerro Largo,3,,,
1966-03-18,2,Lavalleja,8,,,
1966-05-10,1,Salto,1,,,
1966-06-27,1,Cerro Largo,9,,,
1966-08-16,1,Las Piedras,1,2014-12-05,Cerro Largo,1
1966-01-05,8,Maldonado,1,1999-11-13,Tacuarembó,3
1966-01-03,1,Lavalleja,1,2024-05-09,Maldonado,3
1966-12-04,1,Río Negro,1,,,
1966-06-09,2,San José,9,,,
1966-08-08,9,Salto,3,,,
1966-06-01,1,San José,9,,,
1966-10-14,1,Colonia,2,,,
1966-10-08,1,Florida,9,,,
1966-03-22,1,Rivera,9,1986-02-26,Florida,1
1966-07-10,1,Salto,2,,,
1966-10-09,1,Florida,8,,,
1966-12-01,2,Salto,8,1976-10-24,Tacuarembó,1
1966-03-02,2,Cerro Largo,8,1981-11-13,Rocha,9
1966-05-20,2,Río Negro,2,1974-09-21,Colonia,1
1966-04-23,1,Florida,3,2023-06-18,Las Piedras,3
1966-08-25,2,Tacuarembó,2,,,
1966-05-15,2,Rivera,1,,,
1966-07-09,2,Las Piedras,8,2012-10-31,Tacuarembó,1
1966-07-13,2,Las Piedras,8,,,
1966-12-01,1,Lavalleja,1,,,
1966-05-23,8,Maldonado,3,,,
1966-09-12,1,Soriano,9,2005-01-16,Canelones,1
1966-02-08,8,Canelones,2,,,
1966-09-02,1,Las Piedras,8,,,
1966-07-03,1,Tacuarembó,3,1998-08-08,Canelones,3
1966-08-13,9,Florida,2,2025-02-04,Tacuarembó,1
1966-05-10,2,Paysandú,2,2010-02-14,Rivera,3
1966-03-19,1,San José,3,1996-11-10,Canelones,8
1966-08-24,1,Rivera,3,,,
1966-06-10,1,San José,9,,,
1966-03-23,1,Colonia,2,1991-12-01,Maldonado,9
1966-07-07,2,Rivera,1,1976-06-11,Florida,3
1966-12-21,1,Canelones,2,1973-03-29,Maldonado,1
1966-10-12,1,Canelones,8,,,
1966-12-20,1,Salto,3,,,
1966-10-18,1,Maldonado,9,1995-03-07,Rocha,1
1966-10-29,8,Montevideo,1,,,
1966-03-25,9,Tacuarembó,3,,,
1966-06-04,2,Las Piedras,8,1991-02-19,Florida,8
1966-01-23,1,Treinta y Tres,9,,,
1966-11-21,8,Montevideo,1,,,
1966-01-18,1,Montevideo,9,,,
1966-06-22,2,Artigas,9,,,
1966-01-31,8,Rocha,8,2025-05-10,Colonia,2
1966-08-16,8,Montevideo,3,2004-12-21,Florida,8
1966-02-21,2,Lavalleja,8,,,
1966-06-12,2,Treinta y Tres,9,,,
1966-09-20,9,Cerro Largo,8,,,
1966-12-02,1,Rivera,8,,,
1966-03-02,2,Tacuarembó,8,1983-03-23,Colonia,3
1966-05-08,2,Rocha,1,,,
1966-03-09,8,Durazno,3,,,
1966-07-26,2,Río Negro,3,,,
1966-04-28,1,Río Negro,3,1990-07-30,Rivera,9
1966-07-18,2,Flores,3,,,
1966-12-18,1,Montevideo,3,,,
1966-11-22,2,San José,8,1984-03-02,Salto,2
1966-07-08,2,Salto,9,,,
1966-06-09,9,Río Negro,2,,,
1966-12-04,8,Flores,2,1990-09-28,Río Negro,8
1966-10-31,1,Durazno,8,,,
1966-12-10,1,Treinta y Tres,3,1969-02-06,Florida,1
1966-08-04,1,Cerro Largo,1,,,
1966-07-05,1,Soriano,8,1996-11-20,Colonia,1
1966-06-21,2,Florida,8,2016-06-17,Tacuarembó,2
1966-06-30,1,Lavalleja,1,1969-07-25,Soriano,1
1966-12-16,1,Montevideo,2,,,
1966-09-02,9,Montevideo,8,,,
1966-12-01,2,Lavalleja,9,,,
1966-06-10,1,Montevideo,3,2016-05-09,Maldonado,3
1966-01-24,1,Maldonado,3,1990-06-06,Río Negro,1
1966-07-06,1,Río Negro,1,,,
1966-03-10,1,Colonia,8,,,
1966-04-05,2,Rivera,8,1981-09-27,Las Piedras,3
1966-01-16,1,Flores,9,1968-06-20,Treinta y Tres,1
1966-04-20,8,Las Piedras,8,1983-07-11,Rocha,1
1966-11-26,2,Rivera,8,2009-08-12,Maldonado,3
1966-08-15,1,Cerro Largo,9,2024-09-27,Rocha,3
1966-02-11,2,Rivera,3,2004-08-31,Cerro Largo,2
1966-07-04,1,San José,1,1968-05-11,Salto,8
1966-08-03,1,Cerro Largo,8,,,
1966-12-20,8,Rocha,2,2017-06-20,Treinta y Tres,8
1966-12-22,1,Paysandú,2,2023-10-24,Canelones,9
1966-12-22,1,Las Piedras,9,,,
1966-07-14,2,Flores,2,,,
1966-02-26,1,Canelones,1,,,
1966-03-14,1,Rocha,3,2000-01-03,Tacuarembó,1
1966-08-18,1,Montevideo,1,,,
1966-01-28,1,Flores,2,2023-05-26,Tacuarembó,3
1966-08-30,1,Rocha,8,2018-03-07,Artigas,9
1966-08-02,9,Maldonado,8,,,
1966-05-22,1,Flores,1,,,
1966-09-19,1,Río Negro,1,,,
1966-10-23,9,Tacuarembó,3,2024-06-30,Paysandú,2
1966-05-19,2,Rocha,9,1988-01-15,Salto,1
1966-10-21,8,Montevideo,3,,,
1966-05-07,2,Rocha,3,1976-08-11,Artigas,3
1966-12-25,2,Tacuarembó,9,,,
1966-12-18,1,San José,9,1981-09-28,Rivera,8
1966-01-22,8,Durazno,1,,,
1966-09-10,1,Montevideo,1,1973-03-12,Artigas,2
1966-06-30,2,Soriano,2,1975-06-10,Río Negro,9
1966-11-18,1,Florida,9,,,
1966-03-12,2,Rivera,1,2014-10-13,Artigas,2
1966-07-09,1,Salto,2,,,
1966-10-15,1,Tacuarembó,3,2006-06-03,Río Negro,8
1966-03-15,9,Tacuarembó,1,,,
1966-06-14,8,Río Negro,3,,,
1966-11-06,1,Rocha,8,1998-03-11,Soriano,2
1966-05-11,1,Tacuarembó,3,,,
1966-09-07,9,Flores,3,,,
1966-02-07,8,Rivera,2,,,
1966-06-28,9,Las Piedras,3,,,
1966-01-09,2,Rivera,9,,,
1966-07-11,9,Artigas,1,1990-03-19,Colonia,3
1966-08-26,1,San José,2,,,
1966-09-21,2,Rivera,8,,,
1966-09-06,2,Flores,9,1981-10-06,San José,9
1966-07-06,1,Colonia,3,,,
1966-04-12,2,Paysandú,2,1994-09-18,Artigas,1
1966-12-26,2,Cerro Largo,8,,,
1966-01-08,2,Rivera,2,,,
1966-12-05,1,Montevideo,9,,,
1966-11-04,2,Salto,2,,,
1966-01-25,9,Soriano,3,,,
1966-05-24,1,Florida,8,,,
1966-04-08,2,Colonia,8,1969-11-26,Soriano,2
1966-05-27,8,Flores,9,1993-01-02,Colonia,9
1966-02-17,9,Maldonado,3,,,
1966-01-03,8,San José,9,1994-08-24,Artigas,8
1966-12-02,9,Paysandú,8,,,
1966-06-13,2,Lavalleja,3,1967-05-21,Salto,3
1966-01-17,9,Cerro Largo,1,1982-05-09,Río Negro,8
1966-01-31,2,Canelones,8,1972-05-04,Canelones,1
1966-08-09,2,Rivera,2,,,
1966-04-26,1,Montevideo,8,2021-06-19,Canelones,1
1966-09-23,1,Rocha,2,,,
1966-11-04,2,Durazno,8,,,
1966-08-10,1,Cerro Largo,2,,,
1966-08-21,2,Canelones,3,,,
1966-07-10,8,Montevideo,1,,,
1966-10-22,8,Salto,8,,,
1966-07-27,9,Las Piedras,9,,,
1966-02-12,9,Canelones,1,,,
1966-01-27,1,Treinta y Tres,9,1986-07-19,Tacuarembó,8
1966-11-09,2,Río Negro,2,2018-07-10,Rivera,8
1966-09-22,1,San José,8,,,
1966-04-19,1,Flores,1,,,
1966-11-16,9,San José,9,,,
1966-03-22,8,Salto,2,1967-09-01,Tacuarembó,1
1966-04-15,2,Canelones,3,,,
1966-07-25,8,Durazno,2,2021-03-15,Las Piedras,3
1966-12-28,1,Durazno,3,,,
1966-07-08,9,Artigas,3,,,
1967-04-02,1,Lavalleja,8,,,
1967-04-29,2,Montevideo,9,,,
1967-06-11,9,Cerro Largo,2,1991-06-24,Salto,3
